일,월,화,수,목,금,토
,,,,,,1
2,3,4,5,6,7,8
,,,,,,
,조식,조식,조식,조식,조식,
,,,,,,
,현미밥,현미밥,현미밥,영양닭죽 (15),현미밥,
,감자계란국 (1.5.6),북어무채국 (5.6),아욱된장국 (5.6),미니블루베리도넛 (1.2.5.6),호박고추장찌개 (5.6.10),
,돼지갈비찜 (5.6.10.13),오리훈제굴소스볶음 (5.6.13.18),치킨브리또 (1.2.5.6.13.15.18),오복채무침 (5.6.13),숙주들깨무침,
,콩나물무침 (5),두부구이/양념장 (5.6),동그랑땡/케첩 (1.2.5.6.10.12.15.16),떡갈비/치즈떡구이 (2.5.6.10.16),버섯불고기 (5.6.10),
,배추김치 (9),배추김치 (9),배추김치 (9),배추김치 (9),고구마튀김 (5.6),
,아몬드시리얼+우유 (2.5.6),샤인머스캣주스 (13),과채주스 (13),요거얌얌 (2),배추김치 (9),
,,도시락김,,,마카다미아초코우유 (2),
,중식,,중식,중식,,
,,중식,,,중식,
,혼합잡곡밥 (5),,현미밥,해물볶음밥 (1.2.5.6.9.13.16.17.18),,
,근대된장국 (5.6),현미밥,쇠고기미역국 (5.6.16),맑은콩나물국 (5.6.9),흑미밥,
,청경채오이무침 (5.6.13),사골떡만둣국 (1.2.5.6.10.15.16.18),양배추샐러드/키위드레싱 (1.2.5.6),누들국물떡볶이 (1.5.6.13),부대찌개 (1.2.5.6.9.10.12.15.16),
,돈육자장불고기 (1.2.5.6.10.13),부추무생채,춘천닭갈비 (5.6.13.15),회오리감자 (5.6),계란찜 (1.2.9),
,배추김치 (9),고추장돼지불고기 (5.6.10.13),케이준프라이 (5.6),배추김치 (9),숯불닭꼬치 (5.6.15),
,회오리핫도그 (1.2.5.6.10.15.16),아몬드멸치볶음 (13),배추김치 (9),블랙사파이어주스 (13),깍두기 (9),
,멜론두유 (5),배추김치 (9),바나나우유 (2),소금버터쿠키 (2.5.6.13),사과주스 (13),
,,감귤주스 (13),,,도시락김,
,석식,,석식,석식,,
,,석식,,,석식,
,현미밥,,현미밥,현미밥,,
,맑은콩나물국 (5.6.9),오므라이스(하이스소스) (1.2.5.6.10.12.13.15.16),아욱된장국 (5.6),근대된장국 (5.6),현미밥,
,두부조림 (5.6.13),우동국물 (1.2.5.6.9.13),흑임자연근샐러드 (1.5.13),닭볶음탕 (5.6.15),나가사끼짬뽕(면) (5.6.9.10.13.17.18),
